Area Name,Rural/Urban,Total Population,Good Households,Livable Households,Dilapidated Households,Tapwater from treated source,Tapwater from un-treated source,Covered well,Un-covered well,Handpump,Tubewell/Borehole,drinking water from Spring,Drinking water form River/Canal,Drinking water form Tank/Pond/Lake,Sources of Lighting -Electricity,Sources of Lighting - Kerosene,Sources of Lighting -Solar energy,No lighting,Number of households having latrine facility within the premises,Piped sewer system,Septic tank,Other system,With slab/ventilated improved pit,Without slab/  open pit,Number of households not having latrine facility within the premises,Public latrine,Bathroom,Enclosure without roof,Waste Water Closed drainage,Waste Water Open drainage,Good Fuels,Bad Fuels,Total number of households availing banking services,Radio/Transistor,Television,Computer/Laptop With Internet,Computer/Laptop Without Internet,Landline only,Mobile only,Both Mobile and Landline,Bicycle,Scooter/ Motorcycle/Moped,Car/ Jeep/Van,"Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car",Types of Structure of houses-Permanent,Types of Structure of houses-Semi-Permanent,Types of Structure of houses-Total Temporary,Types of Structure of houses-Serviceable,Types of Structure of houses Non-Serviceable,Types of Structure of houses Unclassifiable
Bhiwani (M Cl) - Ward No.14,Urban,5840,38.6,57.9,3.5,73.8,13.2,3,0,9,0,0,0,0,90.1,9.6,0.1,0,90.7,87.4,1.1,2.2,0,0,9.3,1.5,81,5.4,45,51.7,81.6,0.8,56.5,7.8,83,1.3,6.5,2,77.3,4.7,49.1,27.5,3.1,5.2,71.4,24.8,3.6,3.6,0,0.3
Bhiwani (M Cl) - Ward No.15,Urban,6788,48.7,46.2,5.1,90.5,3.1,0,0.1,5.4,0,0,0,0,96.6,2.4,0,0.6,97.6,96.3,0.7,0.2,0.2,0.1,2.4,0.5,93.2,2.7,57.7,41.9,90,0.6,61.5,7,84.9,4.8,12.5,3.6,76.6,8.5,57.8,27,4,9.7,92.9,5.6,1.2,1.1,0.1,0.2
Bhiwani (M Cl) - Ward No.16,Urban,4775,57.1,40.6,2.2,93.5,2.3,0,0.1,3.7,0,0.3,0,0,99.6,0.4,0,0,98.3,97.1,0.6,0.4,0,0,1.7,1.5,93.2,2.6,56.8,42.4,92.6,1.9,78.3,7.2,87.4,3.8,7.8,3.5,74.5,11.4,55.1,33.5,3,8.4,85.6,14,0.4,0.4,0,0
Bhiwani (M Cl) - Ward No.17,Urban,5299,49.5,48,2.4,97,1,0.6,0.1,0.5,0,0.2,0,0,98.8,1.1,0,0,99.3,87.9,6.3,0.2,0.4,0,0.7,0.1,96.7,2.1,73.1,26.6,88.9,0.7,79.1,21.9,89.4,6.2,15.2,13.2,68.4,7.4,50.3,33.2,9.5,12.9,82.2,16.4,1,1,0,0.4
Bhiwani (M Cl) - Ward No.18,Urban,5031,40.3,56.5,3.2,98,0.7,0,0,0.8,0,0.3,0,0,99.7,0.2,0,0,99.3,94.7,3.6,0,1,0,0.7,0.4,97.5,2.2,50.7,49.2,93.2,0.9,66.2,27.7,91.1,5.5,14.4,3.2,84.6,7.4,75.5,36.5,3.5,10.5,93.8,5.3,0.8,0.8,0,0.1
Bhiwani (M Cl) - Ward No.19,Urban,7420,35.4,57.5,7.1,82.3,1.9,0.1,0,14.8,0.3,0,0,0.4,95.9,3.3,0.1,0,97.5,96.5,0.6,0.4,0,0,2.5,1.1,84.3,6.4,54.3,43.9,74.8,0.4,55.8,16.2,81,4.2,9.4,2.6,71.1,8.4,56.2,26.4,4.8,9.2,81.3,15.6,1.7,1.6,0.1,1.5
Bhiwani (M Cl) - Ward No.20,Urban,4747,40.7,56.4,2.9,85,12.7,0,0,2.4,0,0,0,0,99.6,0.3,0,0,99.3,98.3,0.3,0,0,0,0.7,0,88.5,8.4,60.8,39.2,80,0.1,62,11.1,86.9,3.5,7.1,3.1,68.2,7,42,25.4,4.9,7.2,85.4,13.9,0.6,0.6,0,0.1
Bhiwani (M Cl) - Ward No.21,Urban,3023,63.1,35.3,1.6,91.2,3.5,0.4,0,4.4,0,0.4,0,0,88.5,5.7,0,0.2,98,97.3,0.5,0.2,0,0,2,0.4,85.4,3.3,83,15.4,77.7,1.5,70.7,11.5,87.4,6.6,15.2,4.2,65.6,10.4,52.7,35.5,12.1,13,96,3.3,0.7,0.5,0.2,0
Bhiwani (M Cl) - Ward No.22,Urban,4420,84.4,14.2,1.4,88.1,5.3,0,0.2,5.9,0,0.2,0,0,98.4,1.2,0,0.1,98.9,97.8,0.9,0,0.2,0,1.1,0.4,93.3,3.2,39.1,59.6,73.4,4,52.1,8.9,85.3,3.1,9.4,4.2,72.5,7.9,48.3,24.9,3.6,6.1,89.1,10,0.9,0.9,0,0
Bhiwani (M Cl) - Ward No.23,Urban,5882,58.5,37.7,3.8,85.5,4.5,0.3,0,8.9,0,0,0,0,94,4,0.1,1,92.1,84.8,7.3,0,0,0,7.9,1.6,86.5,4.5,67.8,30.4,71.3,0.6,51.8,9.2,76.5,3.2,7.7,4.4,71,3.4,60,19.9,3.4,3.2,83.3,11.9,4.8,3.9,0.8,0
Bhiwani (M Cl) - Ward No.24,Urban,9985,49.5,46.8,3.8,83.1,1.6,0.2,0.2,12,0.1,0,0,0.1,90.1,7.1,0,2.5,83.6,37.8,38.2,0.6,5.6,0,16.4,0.1,85.5,6.2,31.5,42.6,63.9,0.4,53.6,14.3,79.3,5,5.7,5.1,65.7,5.8,53.7,34.7,7.3,8.2,93,6.6,0.4,0.3,0.1,0
Bhiwani (M Cl) - Ward No.25,Urban,4754,53.2,42.8,3.9,89.9,2.7,0,0.1,7.3,0,0,0,0,96.8,3,0.1,0,88.5,59,14.1,12.3,1.7,0,11.5,0,88.6,6.8,48.7,51.1,82.9,0.2,61.7,8.8,86.2,3.8,15.9,8.1,72.3,8,50.1,32.6,5.5,9,93.4,6.2,0.2,0.2,0,0.2
Bhiwani (M Cl) - Ward No.26,Urban,9352,42.6,53.4,4.1,80.9,9.5,0.1,0.1,9.1,0,0.3,0,0,96.7,3.1,0,0.1,91.3,67.5,18.4,0,4.4,0.9,8.7,1,88.8,4,57.1,31.1,77.6,1.5,68.2,10.8,84.3,6.9,10.6,6.6,71.3,9.2,53.7,40.6,8.8,13.3,86.6,9.9,2.7,2,0.6,0.9
Bhiwani (M Cl) - Ward No.27,Urban,1033,53.4,43.9,2.6,89.4,0,0.5,0,1.1,0,0,0,0,94.2,5.8,0,0,91.5,9,52.4,5.8,24.3,0,8.5,0,89.4,4.2,1.1,50.8,74.6,0,56.6,5.3,77.2,2.6,5.3,6.9,82.5,2.6,59.8,14.3,0.5,2.6,78.3,21.7,0,0,0,0
Bhiwani (M Cl) - Ward No.28,Urban,7723,48.6,41.3,10.1,43.8,9.6,0.5,0,39.8,1,0,0.1,0,85.3,10.3,0.2,3.9,77.7,33,40.8,2.3,0.6,0.9,22.3,0.3,66.5,14.2,13,32.9,53,6,52.6,10.3,67.5,2.4,10.7,3.8,76.6,1.6,55.2,14.8,1.5,2.7,83.1,8,7.4,5.3,2.1,1.5
Bhiwani (M Cl) - Ward No.29,Urban,10146,39,60.5,0.5,67.5,5.4,0,0,25.6,0,0,0.6,0.7,97.3,2.6,0,0,78.5,66,9.6,0.1,0.5,1.6,21.5,16.1,83.9,12.7,41.1,49.5,74,9.4,88.4,15.2,84.2,4.4,14.1,6.2,79.3,5.4,61.7,28.6,7.1,10.2,77.5,10.2,0.6,0.3,0.3,11.7
Bhiwani (M Cl) - Ward No.30,Urban,3980,79.6,19.6,0.8,99.3,0,0,0,0.7,0,0,0,0,100,0,0,0,99.3,98.6,0.8,0,0,0,0.7,0.4,98.7,0.7,99.1,0,96.3,0.8,91.9,34,96.6,16.1,27.3,3.6,60.6,32.5,53.6,65,27.2,38.9,99,1,0,0,0,0
Bhiwani (M Cl) - Ward No.31,Urban,2609,50.4,47.9,1.7,59.3,0.6,0,0,39.7,0,0,0.2,0,99.2,0.8,0,0,91.1,84.4,6.3,0.4,0,0,8.9,0,89.9,7,81.2,17.5,81.6,3.2,87.8,11.8,89.4,10.1,17.3,6.7,80.8,8,64.1,48.1,18.1,22.4,96.2,3.8,0,0,0,0
Sub-Dist - Tosham,Total,191466,48.8,45.4,5.8,63.6,4.6,2,7.4,4.5,10,0,0.1,3.1,83.1,15.5,0.2,0.5,46.7,3,19.4,2.7,20.1,1.3,53.3,1.1,59.4,14.2,4.9,69.1,17.4,0.1,61.5,19.4,48.6,0.9,4.8,3.3,67.8,3.5,18.7,17.5,4.7,1.8,68.7,26.3,4.1,3.7,0.5,0.8
Sub-Dist - Tosham,Rural,175907,47.7,46.4,5.8,61,4.8,2.2,8,4.6,10.8,0,0.1,3.4,81.8,16.7,0.2,0.5,43.6,2.2,19.3,2.9,18,1.1,56.4,1.2,57.4,14.5,2.8,69.6,13.1,0.1,60.8,19.7,46,0.5,4.2,3,67.4,3.1,17,16.4,4.1,1.1,67.9,27.2,4,3.7,0.4,0.9
Sub-Dist - Tosham,Urban,15559,60.9,33.3,5.8,92.8,1.7,0.1,0,3.8,1,0,0,0.3,96.9,2.1,0,0.5,82.2,12,21.1,0.6,44.4,4.1,17.8,0,82.3,10.9,28.7,63.4,65.6,0.2,69,16.1,77.7,4.6,11,7,71.9,7.9,37.7,30.9,11.1,9,77.8,16.6,5.5,4.1,1.5,0.1
Shimliwas (145),Rural,1625,49.1,42.9,8.1,38.8,3.1,0.6,54.7,0.9,1.9,0,0,0,84.8,13.4,1.9,0,58.4,18.6,0.3,0.3,38.8,0,41.6,0,70.5,14.9,5.6,83.5,1.6,0,60.2,26.4,45,0.6,3.1,1.6,80.7,2.8,21.4,22.4,5.9,1.9,76.7,19.3,4,4,0,0
Mansarwas (146),Rural,1595,82.1,15.4,2.5,98.4,0,0,0,0,1.6,0,0,0,96.9,2.8,0,0,82.4,0,82.4,0,0,0,17.6,0.3,81.4,13.5,0.3,98.7,1.9,0.3,96.2,62.3,62.6,0.3,0.6,0.9,84.9,5,28.6,29.6,6,0.3,96.9,2.2,0.9,0.9,0,0
Kairu (72),Rural,9894,45.6,44.7,9.7,55.7,7.6,4.4,20.2,1.1,9,0.1,0,0.2,79.3,18.6,1.6,0.2,50.3,0,8.3,1.6,39.5,0.8,49.7,0.5,53,9.5,1.2,77.9,7.5,0.2,49.5,11.2,40.7,0.4,4,2.1,70.8,1.5,17.5,11.1,2.5,0.8,84.6,10.8,4.1,3.3,0.8,0.5
Ladianwali (140),Rural,379,43.5,43.5,13,91.3,1.4,5.8,1.4,0,0,0,0,0,82.6,17.4,0,0,97.1,2.9,92.8,1.4,0,0,2.9,0,82.6,2.9,17.4,39.1,30.4,0,88.4,17.4,37.7,0,4.3,0,88.4,7.2,24.6,23.2,5.8,0,97.1,2.9,0,0,0,0
Bijlanawas (148),Rural,1014,34,54,12,57,0,0,0,0,43,0,0,0,97,3,0,0,27.5,0,0,0.5,27,0,72.5,0,52,24,0,52,5.5,0,71.5,32.5,37.5,0,1,3,77,3,28.5,14,4,0.5,86,9,4.5,2.5,2,0.5
Indiwali (71),Rural,3015,32.5,46.2,21.3,0,0,0.2,99.1,0,0.7,0,0,0,53.4,44.3,0,2.1,34.2,0,34.2,0,0,0,65.8,0,32.5,34.4,0.2,52.2,8.3,0,58,12,20.6,0.2,1.6,1.2,75.5,1.6,14.6,10.6,1.6,0.2,63.8,17.1,19,18.5,0.5,0
Devrala (73),Rural,5617,82.3,16.5,1.2,42.5,9.9,0,0,0,47.2,0,0.2,0,85,14.4,0.4,0,44.3,1.4,4.6,10.9,27.2,0,55.7,0.5,62.6,13.8,1.2,85.5,14,0,75.7,19.9,47.3,0.6,9,2.7,77,5.4,13,15.1,4.2,1.4,88.3,9.7,1.9,1,0.8,0.1
Khaparbas (139),Rural,1173,91.7,8.3,0,5.5,0.9,1.8,0,0.9,89.9,0,0.9,0,83.5,14.7,0.9,0.9,48.6,42.2,5.5,0,0,0,51.4,0,56.9,11,4.6,93.6,4.6,0,86.2,32.1,50.5,2.8,5.5,0,85.3,5.5,20.2,13.8,3.7,1.8,97.2,2.8,0,0,0,0
Dharwanbas (138),Rural,2769,75.9,22.9,1.1,83.5,0,0,0.6,0.9,15,0,0,0,87.8,12.2,0,0,61.1,0,60.7,0.2,0.2,0,38.9,0,65,19.4,0.8,35.5,16.2,0,65.2,22.9,49.6,0,0.8,1.9,78.2,0.8,9,14.8,7.7,0.4,79.9,18.6,1.3,1.3,0,0.2
Khariawas (137),Rural,1621,67.8,25.1,7.1,79.5,3.2,3.2,0,0,14.1,0,0,0,61.8,38.2,0,0,40.6,0.4,8.1,9.5,21.9,0,59.4,6.4,48.1,18,1.8,53.7,20.1,0,36.7,29,34.6,0.7,20.1,6.4,61.5,14.8,23.3,18.4,13.1,10.2,51.6,28.3,20.1,14.1,6,0
Sungarpur (77),Rural,3380,31.4,63.3,5.2,87.6,1.3,0.8,2.5,0,7.8,0,0,0,69.4,29.7,0,0.8,36,0.3,35.7,0,0,0,64,0,49.8,17,0.3,71.1,16.7,0,55.6,19.4,49.5,0.3,11.9,0.8,82.9,2.7,18.9,15.4,4.4,1.3,62.5,33.7,2.5,2.5,0,1.3
Gudha(45),Rural,23,25,75,0,0,0,0,0,0,100,0,0,0,25,75,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,75,0,0,0,0,100,0,0,0,0,0,100,0,0,0,0,0
Dhani Mahu (46),Rural,6026,52.7,43.7,3.6,46,4.1,5,8.5,21,3.8,0.1,0.1,0.1,75.9,21.4,0,0.8,49.5,4.6,26.5,5.8,8.1,2.5,50.5,0.5,55.7,11.3,1.8,67.8,12.3,0.5,42.7,19.7,47.2,0.6,2.8,4,57.8,4.1,20.8,12.5,2.4,1.2,71.8,25.7,2.5,2.3,0.3,0
Bajina (47),Rural,5391,58.4,39.3,2.4,32.3,2.2,0.2,0.7,61.8,2.7,0,0,0.1,89.9,9.4,0,0.3,48,1.8,23.5,0.1,22.6,0,52,0,59.5,17.3,1.8,88.3,21.8,0,57.9,10.6,48,0.4,1.8,0.7,58.2,1,9,7.2,3.4,0.3,70.9,28,1.1,1.1,0,0
Riwasa (30),Rural,6328,44.6,46.1,9.2,79.2,3.2,0.2,7.7,1.5,5.9,0,0,0.6,79.6,15.1,0,2.7,45.7,0.6,31.8,2,10.6,0.2,54.3,0.3,55.4,17.3,1.8,70.3,21.3,0.1,49.1,9.6,48.7,1.3,3.1,4,61.8,3.8,23.3,18.4,4.2,0.8,64.1,31.8,4.1,4,0.1,0
Nigana Kalan (43),Rural,2163,49.4,44.3,6.3,43.1,0,0,0,1.4,55.4,0,0,0,76.9,22.7,0,0,29.2,10.6,10.4,0,8.2,0,70.8,0,40.7,13.3,1.7,56.1,3.6,0,30.6,11.1,31.3,0.5,3.9,0.2,53,0.7,7,9.2,1.2,1,55.9,40,4.1,4.1,0,0
Nigana Khurd (44),Rural,2084,24.6,46.8,28.6,42.7,44.8,0.3,4.9,0,6.1,0,0,0,61.1,28.9,0.3,2.8,14.1,0,13.8,0.3,0,0,85.9,2.8,28.9,18.2,6.1,44,2,0.3,62.9,9.2,27.9,0.3,4.6,1.5,55,2,6.9,4.3,1,0,46,35.8,17.9,16.4,1.5,0.3
Dulheri (42),Rural,4090,42.2,50.2,7.6,55.6,2.1,0.5,4,0,36.7,0,0,0,86.1,11.4,0.2,0.5,37.8,0.5,31.2,3.8,1.1,0.8,62.2,0,50.3,15.4,1.2,76.1,6.2,0,41.9,7.6,43.4,0,1.4,4.1,50.3,2.3,9,10.2,1.5,0.5,64,24.4,10.7,10.5,0.2,0.9
Alampur (78),Rural,3857,47.3,48,4.8,87.5,0.1,6,0.5,0,3.8,0,0,0,94.8,4.8,0,0.4,36,0,18.9,0.1,16.3,0,64,3.4,57.8,18.9,13.2,51.2,9.4,0,86,19.6,51.2,0.7,3.7,2.5,73.3,4.4,13.9,16.6,4.1,1.1,58.4,40.3,0.7,0.7,0,0.5
Patodi (79),Rural,3043,43.5,42.6,13.9,91.2,2.6,0.5,2.2,0,3.3,0,0,0.2,76.8,23.2,0,0,34.9,0,30,0,1.8,3.1,65.1,0,52.5,10.4,4.4,74,9.7,0.2,62.7,17,44.6,1.5,1.1,2,64,3.1,12.2,14.8,5.5,1.3,77.1,11.2,3.3,2.7,0.5,8.4
Sandwa (76),Rural,6584,33.2,57.7,9.1,17.6,0.9,3.4,4.5,0.1,24.2,0,0,49.2,75.3,23.6,0.2,0.3,53.9,3.8,20.4,0.2,29.5,0,46.1,0,58.7,10.1,3.7,76.9,15.4,0.2,57.1,12.7,32,0.2,2.2,1.3,70.1,1.2,6.5,7.6,3.1,0.4,75.7,12.7,6.2,5.5,0.7,5.5
Busan (95),Rural,1790,44.4,51.4,4.2,36.3,20.1,2.4,1.2,2.1,30.9,0,0,6.9,83.8,16.2,0,0,29.1,14.1,0.9,4.5,8.1,0.9,70.9,0,52.3,14.4,1.5,85,1.2,0,70,28.8,38.4,2.1,3.3,0.9,27.9,1.5,12,18.9,2.4,1.5,77.2,19.2,3,2.7,0.3,0.6
Salewala (75),Rural,1787,53.6,43.4,3,71.1,0.3,20.1,1.3,0,7.2,0,0,0,86.5,13.2,0.3,0,28.3,1,27,0,0,0,71.7,0,62.8,6.2,0,7.2,0,0,80.9,26.6,54.9,0,0.7,3.6,86.2,0.7,11.8,11.5,2,0.7,78.6,19.1,1.3,1,0.3,1
Hasan (74),Rural,2601,82.4,16.6,1,41.9,28.3,0,0.2,0,29.4,0,0.2,0,90.4,9.6,0,0,53,0,33.8,19.1,0,0.2,47,0,81.8,7.3,0,78,0,0,82.8,14,52.8,0.4,9.6,1.3,72.3,0,4.8,14,3.6,1.5,87.8,10.3,1.9,1.5,0.4,0
Rodhan (96),Rural,2100,51.9,45.1,3,89.9,1,5.3,2.8,0,0.5,0,0,0,80,19.5,0,0,49.6,1.8,3,11.1,33.7,0,50.4,0,58,9.4,0.8,50.1,12.7,0,67.6,23,26.8,0.3,7.8,1.8,59,0.5,3.8,10.4,2.8,0.5,78.7,15.4,1.5,1.5,0,4.3
Katwar (97),Rural,1706,66,33,1,79.2,0.6,0,2.9,1,16.3,0,0,0,77.2,22.4,0.3,0,23.4,0,4.2,0,18.9,0.3,76.6,0,54.8,5.4,0.3,76.9,0,0,83.7,21.2,39.7,0.6,2.6,5.8,69.2,1.9,4.8,17.6,3.5,1.3,88.8,10.6,0.6,0.6,0,0
Isharwal (100),Rural,3950,43,53.2,3.9,77.5,0.9,5.3,6.8,0.4,9,0,0,0,92.6,7.3,0,0,57.9,1.5,29.9,3.4,23.1,0,42.1,0,68.6,7.9,4.6,68.1,8,0,77.3,21.6,46.4,1.5,15.7,3.6,76.9,3.9,14.2,15.3,5.6,3.3,81.8,14.5,3.6,3,0.6,0.1
Devawas (99),Rural,2113,52.9,46.1,1,2.8,0.3,36.9,55.2,0.3,1,0,0,3.6,88,9.7,0.3,2,31.3,4.1,16.8,0,10.2,0,68.7,6.4,68.4,9.4,2.5,33.8,10.2,0,45.8,19.8,28,0.5,2,4.3,49.1,5.6,7.6,8.4,3.3,0.3,83.5,12.2,3.6,3.3,0.3,0.8
Jainawas (147),Rural,1237,21.1,71.7,7.2,89.9,2.1,0.4,1.3,0,4.6,0,0,0,86.1,11.4,0.4,0,54,0,32.9,0.4,19.4,1.3,46,0,70,4.2,16.9,42.6,5.1,0.4,78.9,14.3,50.2,0.4,2.5,1.3,74.3,4.2,16,26.6,3.4,1.3,83.1,14.3,2.5,2.5,0,0
Mandhan (98),Rural,1954,72,20.1,7.9,53.8,1.1,1.9,18.2,23.1,1.6,0,0,0,86.7,6.5,0.5,5.2,45.1,0,45.1,0,0,0,54.9,0,67.1,10.9,0.3,67.1,3.8,0,81.5,13.6,42.9,0.5,0.8,2.2,63.6,4.3,18.5,16.8,4.1,0.8,76.4,4.3,5.4,4.3,1.1,13.9
Khawa (94),Rural,1450,44.4,45.8,9.7,92,6.6,0,0.3,0,1,0,0,0,55.6,44.4,0,0,24.3,0,24.3,0,0,0,75.7,27.4,41,31.2,2.4,81.2,1.7,0,52.8,19.1,33.3,0,0.3,3.1,70.8,2.1,12.8,10.8,1.4,0,77.8,5.6,7.6,7.3,0.3,9
Bhariwas(93),Rural,1526,45.9,45,9.1,3.9,0,0,0.3,0,0,0,0,95.8,88.8,11.2,0,0,41.1,0,0.3,0,40.8,0,58.9,0,64.7,10.9,16.9,59.5,0.6,0.3,81.3,30.2,56.8,1.8,2.7,4.2,68,15.7,26,20.2,6,2.7,94.9,3,2.1,2.1,0,0
Badalwala(80),Rural,589,93,7,0,79.1,0,0.8,7.8,0,12.4,0,0,0,75.2,24.8,0,0,32.6,0,1.6,0,31,0,67.4,0,59.7,15.5,0,99.2,6.2,0,79.8,36.4,50.4,0,0.8,5.4,71.3,7,34.9,13.2,0.8,0,57.4,40.3,2.3,2.3,0,0
Thilor(81),Rural,2123,11.9,72.4,15.7,72.7,0.8,0,0,0.8,25.8,0,0,0,77.8,22.2,0,0,33.8,0,0.8,0.3,32.7,0,66.2,0,53.1,12.4,0.5,62.9,15.2,0,66.5,29.1,49.5,1,2.3,3.6,69.8,11.9,24.2,21.4,4.4,2.6,90.7,8.8,0.5,0.5,0,0
Kharkhri Makhwan (40),Rural,3689,71.3,25,3.7,52.4,35.8,0.4,1.8,0,6,0.1,0,0,89.4,10.5,0.1,0,45.4,3.1,14.3,0.9,25.2,0.9,54.6,5.7,70.4,8.7,2.4,64.4,25.3,0,79.2,32.5,63.9,1.9,6.6,2.5,80.6,5.3,30,28.4,8.7,4.1,65.5,32,2.5,1.2,1.3,0
Kharkhri Sohan(39),Rural,2701,77,19.8,3.3,99,0.2,0,0,0,0,0,0.8,0,95.2,4.6,0,0.2,63.3,0.4,5.8,9.2,47.8,0.2,36.7,0,74.1,13.6,1.2,98.3,43.6,0,84.3,78.7,67.8,0.2,2.5,9.2,77.4,3.6,19.8,21.1,4.6,0,44.9,54.5,0.4,0.4,0,0.2
Dharan(41),Rural,1128,10,82,8.1,99.1,0,0,0,0,0.9,0,0,0,97.2,2.8,0,0,47.9,0.5,15.2,31.3,0.9,0,52.1,0,62.1,9,0,31.8,2.8,0,38.9,17.1,60.7,0,0,1.9,72,2.8,17.1,24.6,2.8,0,60.2,34.6,5.2,4.7,0.5,0
Dang Kalan(28),Rural,2161,48.4,46.3,5.3,66.7,0.7,0,31.3,0,1,0,0,0,83.1,16.4,0,0,43.6,7,28.2,0,7,1.2,56.4,0,45.3,31.3,5.3,63.1,24.1,0.2,56.6,29.9,53.5,0.2,23.6,17.3,56.9,4.6,43.1,21.2,4.1,4.8,54.5,40.2,5.3,5.3,0,0
Dang Khurd(29),Rural,2110,27.5,65.7,6.8,89.4,3.4,0.2,3.6,1.9,0.2,0.7,0,0.2,89.6,9.7,0,0.2,42.5,8.5,3.9,0,30.2,0,57.5,8,49,7.7,6,57.7,7.5,0,49,24.9,56.8,0.2,2.4,2.7,59.7,2.4,53.4,26.3,1.2,1,64.7,31.4,3.4,3.1,0.2,0.5
Sagban (31),Rural,6179,31.8,61.8,6.4,47.6,3,1.1,23.3,5,2.9,0,2.5,0.6,84.1,15.6,0,0,27.4,4.3,7.6,3,12.4,0.1,72.6,11.3,51.2,19.3,0.9,27,4.8,0,47.4,12,48.8,0.1,3.1,3.1,69.7,1.6,18.4,19.8,1.8,0.3,44.1,53.4,2.1,2,0.1,0.4
Alakhpura (32),Rural,1603,15.5,80.6,3.9,97.2,1.8,0,0.4,0,0,0.4,0,0,64.3,15.2,0,0,33.9,0,7.1,0,25.8,0,66.1,0,54.4,17.7,2.5,92.9,9.9,0,58.7,12,56.5,0,5.3,6,71,4.6,24.4,16.3,2.1,2.1,32.5,67.1,0,0,0,0.4
Bhurtana (39),Rural,3256,32.6,66.1,1.3,88.6,3.3,0.8,0.2,5.8,0.7,0,0.3,0,83,16.9,0,0,53.6,0.7,0.2,0.3,28.2,23.9,46.4,0.3,61.6,6.2,0.3,59.4,37.7,0.2,75.3,13.7,59.8,0.5,1.2,5.7,66.9,8.8,23,22.9,4.2,0.7,30.9,68.4,0.7,0.3,0.3,0
Kirawar (38),Rural,5626,38.5,55.4,6.1,97.9,1.4,0.7,0,0,0,0,0,0,75.9,21.1,0,0,56.6,0.5,28.7,2,23.2,2.2,43.4,0,56.9,19.6,7.9,75.8,34.2,0.3,38.5,22.6,55.8,0.3,5.7,1.5,55.4,1.3,25.3,17.4,2.7,1.6,40.7,47,12.2,12.1,0.1,0.1
Tosham (Rural) (33) ,Rural,588,63.6,27.3,9.1,30.9,0,6.4,4.5,7.3,28.2,0,0,0,77.3,22.7,0,0,30.9,0,1.8,0,0,29.1,69.1,0,63.6,23.6,0,27.3,0,0,37.3,14.5,40.9,0,1.8,0.9,90,0,23.6,24.5,3.6,0.9,87.3,4.5,8.2,8.2,0,0
Khanak(34),Rural,8269,47.3,50.9,1.8,14.3,6.3,5.5,1.1,1,3.5,0,0.1,0.9,89.7,9.2,0.6,0.4,41.4,1.4,6.6,0.2,31.9,1.4,58.6,0.2,58.6,19.7,2.5,72.5,29.3,0.6,45.4,12.8,50.2,1.2,4.5,1.4,48.3,1.4,10.5,17.7,4.9,0.7,40.3,55.4,4.2,3.9,0.3,0.1
Baganwala(37),Rural,3543,44.7,52.9,2.4,16.9,9.3,1.5,16,5,44.9,0,0,6.3,89,10.8,0,0.2,52.1,0.3,46.2,3.5,2.1,0,47.9,0,62.5,13.9,9.5,58,17.8,0.2,64.6,28.9,55.9,0.8,9.8,6,63.6,0.9,36.1,26.2,10.5,2.6,68.4,30.1,1.4,1.4,0,0.2
Jhanwari(38),Rural,1526,60.6,37.3,2.1,55.3,40.5,0,0,1.4,2.8,0,0,0,95.8,4.2,0,0,57,28.5,11.6,0,16.5,0.4,43,0,64.1,10.6,1.8,65.1,27.8,0.4,85.6,13.7,61.3,0.4,3.9,7.7,72.5,2.8,35.9,30.3,3.5,0.7,90.8,7.4,0.7,0.7,0,1.1
Dadam(36),Rural,2541,50.6,42.7,6.8,27.5,4.9,1.4,35.4,11.9,15.9,0,0,0.5,83,14.9,0.5,1.2,51.5,0.7,1.9,14.2,34.5,0.2,48.5,0.2,63.2,8.6,4.9,82.8,2.8,0,42.7,16.6,46.4,0.2,2.1,4,73.7,4.9,8.4,23.8,5.8,1.2,49,42.9,8.2,7.7,0.5,0
Pinjo Khara(35),Rural,3050,34.5,64.7,0.7,59,2.1,2.1,2.6,9.9,23.3,0,0,0.9,69.8,30,0,0,28.2,0.4,20.9,6.2,0.6,0.2,71.8,3.4,49.8,14.2,1.5,76.1,12.1,0,53.5,19.6,42.5,0.2,3.5,1.7,65.9,1.1,8.8,19.4,3,0.9,52.1,47.2,0.7,0.6,0.2,0
Garanpura(86),Rural,3719,59.4,37.7,3,88.3,3.1,0.4,6.6,0.3,1,0,0,0.3,81.3,17.3,0,1.1,28.6,0.8,3.8,8.3,15.3,0,71.4,0.1,42.1,30.8,5.1,86.6,2.3,0,74.4,29.3,45.4,0.6,6.6,3.5,71.7,1.4,20.5,13.8,8.2,1,58.8,38.8,2.4,2.3,0.1,0
Chhapar Jogian(85),Rural,1192,71.9,19.2,8.9,96.9,1.3,0,0,0,1.8,0,0,0,68.3,31.7,0,0,33,0,0.4,0.4,32.1,0,67,0,54,4.9,0,98.7,8.9,0.4,66.5,25,35.3,0.4,4,4.5,77.7,0.4,12.1,22.8,4.5,1.3,64.3,29,6.7,6.7,0,0
Chhapar Rangran(84),Rural,1882,45.8,41.6,12.6,91.2,0,2.1,0.3,0,6.2,0.3,0,0,84.2,15.8,0,0,22.5,0,4.8,0,17.4,0,77.5,0,43.7,42.6,0,95.7,11,0,23.3,18,43.7,0,0,0.5,49.6,2.4,7.8,13.1,7.2,0,71.8,21.7,6.4,5.9,0.5,0
