Area Name,Rural/Urban,Total Population,Good Households,Livable Households,Dilapidated Households,Tapwater from treated source,Tapwater from un-treated source,Covered well,Un-covered well,Handpump,Tubewell/Borehole,drinking water from Spring,Drinking water form River/Canal,Drinking water form Tank/Pond/Lake,Sources of Lighting -Electricity,Sources of Lighting - Kerosene,Sources of Lighting -Solar energy,No lighting,Number of households having latrine facility within the premises,Piped sewer system,Septic tank,Other system,With slab/ventilated improved pit,Without slab/  open pit,Number of households not having latrine facility within the premises,Public latrine,Bathroom,Enclosure without roof,Waste Water Closed drainage,Waste Water Open drainage,Good Fuels,Bad Fuels,Total number of households availing banking services,Radio/Transistor,Television,Computer/Laptop With Internet,Computer/Laptop Without Internet,Landline only,Mobile only,Both Mobile and Landline,Bicycle,Scooter/ Motorcycle/Moped,Car/ Jeep/Van,"Households with TV, Computer/Laptop, Telephone/mobile phone and Scooter/ Car",Types of Structure of houses-Permanent,Types of Structure of houses-Semi-Permanent,Types of Structure of houses-Total Temporary,Types of Structure of houses-Serviceable,Types of Structure of houses Non-Serviceable,Types of Structure of houses Unclassifiable
Bawani khera (MC) - Ward No.12,Urban,1070,45.3,43.8,10.8,81.3,0,0,17.7,0,1,0,0,0,94.6,2.5,0.5,0,70.9,0,3.9,58.6,8.4,0,29.1,2.5,84.7,5.4,5.4,93.1,24.1,0,64.5,10.8,83.3,0,1,19.2,63.1,1,47.3,18.7,3.9,0,39.4,60.1,0.5,0.5,0,0
Bawani khera (MC) - Ward No.13,Urban,1959,56.2,41.9,1.8,85.2,4.4,1,6.8,0,0,0,0,0,82.3,15.9,0.5,1.3,18,0,14.3,2.9,0.3,0.5,82,0,15.1,2.3,0,90.4,3.9,0,18.8,9.1,78.1,0.3,1,4.7,82,0.8,23.4,6.8,2.1,0.3,24.5,74,1.6,0.5,1,0
Sub-Dist - Bhiwani,Total,553698,49.2,45.2,5.6,57,6.2,1,9.1,21.9,2.7,0,0,1,88.9,9.6,0.1,0.7,67.1,28.8,23.1,2.7,11.9,0.3,32.9,1.3,70.3,11.9,23.2,64.2,41.9,0.8,62.1,16.2,66.1,2.7,8.2,3.8,70.7,4.4,43.5,25.2,5.8,6,72.9,23.9,2.6,2,0.6,0.7
Sub-Dist - Bhiwani,Rural,357641,46,47.4,6.6,43.5,7,1.5,14.4,26.7,4.2,0,0,1.5,85.5,12.8,0.1,0.7,52.2,2.2,29.6,3.6,16.3,0.3,47.8,1.1,59.2,16,3.4,83,21,0.1,58.6,16.4,55.7,0.9,5.3,3,68.7,2.3,34.7,18.3,3.7,1.7,63.8,32.6,3,2.4,0.7,0.5
Sub-Dist - Bhiwani,Urban,196057,54.7,41.5,3.8,80.1,4.8,0.2,0.1,13.7,0.2,0,0,0.1,94.6,4.1,0,0.5,92.6,74.5,12,1.1,4.4,0.2,7.4,1.6,89.3,5,57.3,31.8,78,1.7,68,16,84,5.8,13.2,5.1,74.1,8,58.7,37.1,9.3,13.4,88.4,8.8,1.8,1.4,0.4,1
Mundhal Kalan (55),Rural,3034,67.9,30.1,2,40.6,0.6,0.2,58.2,0.2,0,0,0.2,0,94.9,4.8,0,0,51.9,1,25.3,0,22,3.6,48.1,0,67.3,5.5,2.2,93.5,12.5,0,43,13.5,53.5,0.8,4.4,1.4,75.4,3.6,38.8,19.8,4.8,2.6,58.4,41.6,0,0,0,0
Mundhal Khurd (57),Rural,8837,70.4,26.5,3.1,52.7,3.5,0.2,32.5,10.2,0.2,0,0,0,92.9,6.2,0.1,0.3,57.8,6,33.2,6.8,11.7,0,42.2,0.4,66.7,14.7,2.5,95.3,20.5,0.1,61.1,22.3,57.9,0.5,1.6,3.8,54.1,3.2,41.7,18.4,4.9,0.9,52.8,45.4,1.7,1.2,0.5,0
Jatai (54),Rural,2952,30.4,53,16.5,25.3,0.6,0,14.8,59.3,0,0,0,0,93.2,6.3,0.6,0,51.9,0.6,9.7,16.3,25.1,0.2,48.1,0,55.9,14.8,0.2,83.5,14.4,0,86.3,30.6,58.6,0.4,3.2,0.6,88.2,0.6,38.6,20.2,2.3,2.3,24.9,57.6,17.3,16.9,0.4,0.2
Talu (51),Rural,8243,54.6,42.7,2.7,22.6,0.7,0.6,41.8,23.3,0.7,0,0.1,8.3,87.3,12.3,0,0,46.7,0.2,8.7,3.1,34.6,0,53.3,0.5,53.5,15.4,0.6,97.8,10.2,0.1,52.6,14.6,50.1,0.5,2.7,0.9,68.4,1.7,23,17.9,3.1,1.1,43.4,55.4,1,0.9,0.1,0.2
Mandhana (48),Rural,6164,40.8,53.1,6,47.5,8.2,11,29.1,3.8,0.2,0.1,0,0.2,82.9,12.8,0.2,3.7,54.4,6,20.4,3.5,23.1,0.7,45.6,0.2,58.5,20.1,5.9,82.6,20,0.1,48,22.9,50.1,2,14.6,5.4,62.9,6.7,22.8,13.1,8.3,3.5,53.1,40.5,6.5,5.7,0.8,0
